timestep,price
1,17.59090909090909
2,17.59090909090909
3,17.59090909090909
4,17.59090909090909
5,17.59090909090909
6,17.59090909090909
7,17.59090909090909
8,7.2
9,7.2
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,7.2
17,17.59090909090909
18,20.007410151908115
19,26.444028112032434
20,26.93511618720584
21,26.32812766145514
22,19.354838709677423
23,17.59090909090909
24,17.59090909090909
25,17.59090909090909
26,17.59090909090909
27,19.354838709677423
28,26.32812766145514
29,27.335131576307102
30,28.230741252790498
31,27.335131576307102
32,26.93511618720584
33,21.543985637342907
34,17.59090909090909
35,17.59090909090909
36,17.59090909090909
37,17.59090909090909
38,17.59090909090909
39,20.217147135904156
40,27.13150201203625
41,29.002019233009147
42,40.118847253863066
43,40.256192903487694
44,40.118847253863066
45,29.18691323834396
46,28.394066186319623
47,27.26642560655651
48,27.13150201203625
49,27.06525452712677
