technology,FuelCost,efficiency,OM,emissionFactor,MC
Nuclear,3.0,0.33,10,0.0,19.09090909090909
Lignite,6.21,0.42,6,0.399,29.448004285714287
HardCoal,10.6,0.42,6,0.337,38.55436523809524
NaturalGas,31.08,0.59,2,0.201,59.04167610169491
