index,zone,wind onshore,wind offshore,solar,utc_timestamp
t0001,DE,0.3390693097146071,0.7074946466809422,0.0,2017-01-01 00:00:00
t0002,DE,0.3312526360185576,0.706423982869379,0.0,2017-01-01 01:00:00
t0003,DE,0.3214396176015746,0.7066381156316917,0.0,2017-01-01 02:00:00
t0004,DE,0.3252354843244763,0.706423982869379,0.0,2017-01-01 03:00:00
t0005,DE,0.33639814424293546,0.7044967880085653,0.0,2017-01-01 04:00:00
t0006,DE,0.35754252776606216,0.6826552462526767,0.0,2017-01-01 05:00:00
t0007,DE,0.3660902572754112,0.6173447537473233,3.6187305493232976e-05,2017-01-01 06:00:00
t0008,DE,0.36988612399831294,0.5698072805139186,0.009915321705145835,2017-01-01 07:00:00
t0009,DE,0.3687895402783636,0.5578158458244111,0.07537815734240429,2017-01-01 08:00:00
t0010,DE,0.3429214115000703,0.4942184154175589,0.16932040240283708,2017-01-01 09:00:00
t0011,DE,0.312948123154787,0.46466809421841543,0.2471592965187812,2017-01-01 10:00:00
t0012,DE,0.2891606916912695,0.41798715203426123,0.28682058333936455,2017-01-01 11:00:00
t0013,DE,0.2697314775762688,0.30556745182012846,0.2563508721140624,2017-01-01 12:00:00
t0014,DE,0.2542949529031351,0.16809421841541755,0.16772816096113483,2017-01-01 13:00:00
t0015,DE,0.24029242232531983,0.09593147751605996,0.06010711442425997,2017-01-01 14:00:00
t0016,DE,0.24240123717137635,0.1126338329764454,0.004270102048201491,2017-01-01 15:00:00
t0017,DE,0.25705047096864897,0.12762312633832976,0.0,2017-01-01 16:00:00
t0018,DE,0.2564318852804724,0.16188436830835118,0.0,2017-01-01 17:00:00
t0019,DE,0.26140868831716574,0.19914346895074947,0.0,2017-01-01 18:00:00
t0020,DE,0.26742584001124703,0.33897216274089936,0.0,2017-01-01 19:00:00
t0021,DE,0.2685786587937579,0.4241970021413276,0.0,2017-01-01 20:00:00
t0022,DE,0.27811050189793335,0.5241970021413276,0.0,2017-01-01 21:00:00
t0023,DE,0.2684099536060734,0.5811563169164882,0.0,2017-01-01 22:00:00
t0024,DE,0.2651202024462252,0.6338329764453962,0.0,2017-01-01 23:00:00
t0025,DE,0.2788134401799522,0.6411134903640257,0.0,2017-01-02 00:00:00
t0026,DE,0.2828061296218192,0.5676659528907922,0.0,2017-01-02 01:00:00
t0027,DE,0.28949810206663856,0.5134903640256959,0.0,2017-01-02 02:00:00
t0028,DE,0.2779136791789681,0.45074946466809424,0.0,2017-01-02 03:00:00
t0029,DE,0.2762266273021229,0.4366167023554604,0.0,2017-01-02 04:00:00
t0030,DE,0.2834247153099958,0.43832976445396143,0.0,2017-01-02 05:00:00
t0031,DE,0.2883734008154084,0.35738758029978585,0.0,2017-01-02 06:00:00
t0032,DE,0.273358639111486,0.3605995717344754,0.0037996670767894624,2017-01-02 07:00:00
t0033,DE,0.2384929003233516,0.4359743040685225,0.02800897445176232,2017-01-02 08:00:00
t0034,DE,0.22027274005342332,0.5325481798715204,0.058876746037490046,2017-01-02 09:00:00
t0035,DE,0.1980036552790665,0.5959314775160599,0.08688572048925237,2017-01-02 10:00:00
t0036,DE,0.20286798819063687,0.612847965738758,0.10378519215459217,2017-01-02 11:00:00
t0037,DE,0.21180936313791648,0.5486081370449679,0.09148150828689296,2017-01-02 12:00:00
t0038,DE,0.21956980177140448,0.578372591006424,0.05688644423536224,2017-01-02 13:00:00
t0039,DE,0.22640236187262758,0.5374732334047109,0.020120141854237533,2017-01-02 14:00:00
t0040,DE,0.23703078869675243,0.5593147751605996,0.0017369906636751828,2017-01-02 15:00:00
t0041,DE,0.259552931252636,0.6201284796573876,0.0,2017-01-02 16:00:00
t0042,DE,0.2926753831013637,0.6490364025695932,0.0,2017-01-02 17:00:00
t0043,DE,0.31044566287079994,0.6122055674518201,0.0,2017-01-02 18:00:00
t0044,DE,0.31069872065232673,0.6117773019271948,0.0,2017-01-02 19:00:00
t0045,DE,0.3244481934486152,0.5800856531049251,0.0,2017-01-02 20:00:00
t0046,DE,0.3357795585547589,0.5950749464668095,0.0,2017-01-02 21:00:00
t0047,DE,0.366230844931815,0.5680942184154175,0.0,2017-01-02 22:00:00
t0048,DE,0.39283002952340784,0.5417558886509636,0.0,2017-01-02 23:00:00
t0049,DE,0.3983691831857163,0.5293361884368308,0.0,2017-01-03 00:00:00
t0050,DE,0.40939125544777166,0.5498929336188437,0.0,2017-01-03 01:00:00
t0051,DE,0.4368339659777872,0.5715203426124197,0.0,2017-01-03 02:00:00
t0052,DE,0.447574862927035,0.6286937901498929,0.0,2017-01-03 03:00:00
t0053,DE,0.46883171657528466,0.6552462526766595,0.0,2017-01-03 04:00:00
t0054,DE,0.49610572191761565,0.6663811563169165,0.0,2017-01-03 05:00:00
t0055,DE,0.5327709827077183,0.6845824411134903,0.0,2017-01-03 06:00:00
t0056,DE,0.5494446787572052,0.6877944325481798,0.002533111384526308,2017-01-03 07:00:00
t0057,DE,0.586081822016027,0.6931477516059957,0.01946877035535934,2017-01-03 08:00:00
t0058,DE,0.637424434134683,0.6937901498929336,0.042194398205109646,2017-01-03 09:00:00
t0059,DE,0.6879235203149163,0.6980728051391863,0.06575233408120432,2017-01-03 10:00:00
t0060,DE,0.7267819485449177,0.69593147751606,0.0776941448939712,2017-01-03 11:00:00
t0061,DE,0.7583298186419233,0.698286937901499,0.06904537888108851,2017-01-03 12:00:00
t0062,DE,0.7750878672852524,0.6989293361884368,0.044148512701744226,2017-01-03 13:00:00
