timestep,node,price
1,n3303,75.94485388000317
2,n3303,75.94485388000317
3,n3303,75.94485388000317
4,n3303,75.94485388000317
5,n3303,75.94485388000317
6,n3303,75.94485388000317
7,n3303,75.94485388000317
8,n3303,75.94485388000317
9,n3303,75.94485388000317
10,n3303,75.94485388000317
11,n3303,75.94485388000317
12,n3303,75.94485388000317
13,n3303,75.94485388000317
14,n3303,75.94485388000317
15,n3303,75.94485388000317
16,n3303,75.94485388000317
17,n3303,75.94485388000317
18,n3303,75.94485388000317
19,n3303,75.94485388000317
20,n3303,75.94485388000317
21,n3303,75.94485388000317
22,n3303,75.94485388000317
23,n3303,75.94485388000317
24,n3303,75.94485388000317
25,n3303,75.94485388000317
26,n3303,75.94485388000317
27,n3303,75.94485388000317
28,n3303,75.94485388000317
29,n3303,75.94485388000317
30,n3303,75.94485388000317
31,n3303,75.94485388000317
32,n3303,75.94485388000317
33,n3303,75.94485388000317
34,n3303,75.94485388000317
35,n3303,75.94485388000317
36,n3303,75.94485388000317
37,n3303,75.94485388000317
38,n3303,75.94485388000317
39,n3303,75.94485388000317
40,n3303,75.94485388000317
41,n3303,75.94485388000317
42,n3303,75.94485388000317
43,n3303,75.94485388000317
44,n3303,75.94485388000317
45,n3303,75.94485388000317
46,n3303,75.94485388000317
47,n3303,75.94485388000317
48,n3303,75.94485388000317
49,n3303,75.94485388000317
1,n3304,63.04621602400896
2,n3304,63.02725523603871
3,n3304,63.02807770406167
4,n3304,63.418229384071154
5,n3304,67.47092755690105
6,n3304,75.21907170012248
7,n3304,80.56516739970625
8,n3304,81.22099894569783
9,n3304,81.22257013236855
10,n3304,80.26665039139021
11,n3304,78.79745222000477
12,n3304,78.2429439892999
13,n3304,76.42852479790214
14,n3304,76.422579955046
15,n3304,78.24395207333967
16,n3304,80.26665039139021
17,n3304,85.21841710971135
18,n3304,85.04859963406292
19,n3304,81.22257013236857
20,n3304,75.5826263139847
21,n3304,73.86634149440243
22,n3304,74.71708481815696
23,n3304,70.49796758420382
24,n3304,67.47092755690105
25,n3304,63.78554675278481
26,n3304,63.56902947628552
