timestep,demand,curtailment
199,-72077.99999999999,-245.5646102608249
200,-74443.49999999999,-1146.2274145543026
201,-74884.5,-395.55913915417284
202,-75921.5,-247.5909332164446
203,-76915.0,-236.56194057460016
204,-76242.0,-0.0
205,-75785.0,-0.0
206,-74703.0,-0.0
207,-74068.0,-0.0
208,-73621.0,-0.0
209,-75966.0,-1145.9217088339976
210,-75639.0,-457.519519052643
211,-73740.0,-0.0
212,-69861.99999999999,-0.0
213,-66395.5,-0.0
214,-63986.0,-0.0
215,-60306.0,-0.0
216,-57423.5,-0.0
217,-55446.0,-0.0
218,-54397.49999999999,-0.0
219,-54455.999999999985,-0.0
220,-55343.99999999999,-0.0
221,-58202.5,-0.0
222,-65296.5,-0.0
223,-72056.5,-563.2094975622513
224,-74239.0,-1497.587374457102
225,-74797.5,-756.7673149400625
226,-75745.49999999999,-0.0
227,-76225.99999999999,-0.0
228,-75761.5,-0.0
229,-74722.5,-0.0
230,-73854.5,-0.0
231,-72788.0,-0.0
232,-72129.5,-0.0
233,-74867.49999999999,-612.3460387492829
234,-75327.5,-529.59493474342
235,-73868.0,-0.0
236,-69831.49999999999,-0.0
237,-66425.0,-0.0
238,-64230.5,-0.0
239,-60558.0,-0.0
240,-57702.99999999999,-0.0
241,-55464.49999999999,-0.0
