timestep,node,curtailment
25,n3309,0.0
26,n3309,0.0
27,n3309,0.0
28,n3309,0.0
29,n3309,0.0
30,n3309,0.0
31,n3309,0.0
32,n3309,0.0
33,n3309,0.0
34,n3309,0.0
35,n3309,0.0
36,n3309,0.0
37,n3309,0.0
38,n3309,0.0
39,n3309,0.0
40,n3309,0.0
41,n3309,0.0
42,n3309,0.0
43,n3309,0.0
44,n3309,0.0
45,n3309,0.0
46,n3309,0.0
47,n3309,0.0
48,n3309,0.0
49,n3309,0.0
1,n3310,0.0
2,n3310,0.0
3,n3310,0.0
4,n3310,0.0
5,n3310,0.0
6,n3310,0.0
7,n3310,0.0
8,n3310,0.0
9,n3310,0.0
10,n3310,0.0
11,n3310,0.0
12,n3310,0.0
13,n3310,0.0
14,n3310,0.0
15,n3310,0.0
16,n3310,0.0
17,n3310,0.0
18,n3310,0.0
19,n3310,0.0
20,n3310,0.0
21,n3310,0.0
22,n3310,0.0
23,n3310,0.0
24,n3310,0.0
25,n3310,0.0
26,n3310,0.0
27,n3310,0.0
28,n3310,0.0
29,n3310,0.0
30,n3310,0.0
31,n3310,0.0
32,n3310,0.0
33,n3310,0.0
34,n3310,0.0
35,n3310,0.0
36,n3310,0.0
37,n3310,0.0
38,n3310,0.0
39,n3310,0.0
40,n3310,0.0
41,n3310,0.0
42,n3310,0.0
43,n3310,0.0
44,n3310,0.0
45,n3310,0.0
46,n3310,0.0
47,n3310,0.0
48,n3310,0.0
49,n3310,0.0
1,n3311,0.0
2,n3311,0.0
3,n3311,0.0
4,n3311,0.0
5,n3311,0.0
6,n3311,0.0
7,n3311,0.0
8,n3311,0.0
9,n3311,0.0
10,n3311,0.0
11,n3311,0.0
12,n3311,0.0
13,n3311,0.0
14,n3311,0.0
15,n3311,0.0
16,n3311,0.0
17,n3311,0.0
18,n3311,0.0
19,n3311,0.0
20,n3311,0.0
21,n3311,0.0
22,n3311,0.0
23,n3311,0.0
24,n3311,0.0
25,n3311,0.0
26,n3311,0.0
27,n3311,0.0
28,n3311,0.0
29,n3311,0.0
30,n3311,0.0
31,n3311,0.0
32,n3311,0.0
33,n3311,0.0
34,n3311,0.0
35,n3311,0.0
36,n3311,0.0
37,n3311,0.0
38,n3311,0.0
39,n3311,0.0
40,n3311,0.0
41,n3311,0.0
42,n3311,0.0
43,n3311,0.0
44,n3311,0.0
45,n3311,0.0
46,n3311,0.0
47,n3311,0.0
48,n3311,0.0
49,n3311,0.0
1,n3312,0.0
2,n3312,0.0
3,n3312,0.0
4,n3312,0.0
5,n3312,0.0
6,n3312,0.0
7,n3312,0.0
8,n3312,0.0
9,n3312,0.0
10,n3312,0.0
11,n3312,0.0
12,n3312,0.0
13,n3312,0.0
14,n3312,0.0
15,n3312,0.0
16,n3312,0.0
17,n3312,0.0
18,n3312,0.0
19,n3312,0.0
20,n3312,0.0
21,n3312,0.0
22,n3312,0.0
23,n3312,0.0
24,n3312,0.0
25,n3312,0.0
26,n3312,0.0
27,n3312,0.0
28,n3312,0.0
29,n3312,0.0
30,n3312,0.0
31,n3312,0.0
32,n3312,0.0
33,n3312,0.0
34,n3312,0.0
35,n3312,0.0
36,n3312,0.0
37,n3312,0.0
38,n3312,0.0
39,n3312,0.0
40,n3312,0.0
41,n3312,0.0
42,n3312,0.0
43,n3312,0.0
44,n3312,0.0
45,n3312,0.0
46,n3312,0.0
47,n3312,0.0
48,n3312,0.0
49,n3312,0.0
1,n3313,0.0
2,n3313,0.0
3,n3313,0.0
4,n3313,0.0
5,n3313,0.0
6,n3313,0.0
7,n3313,0.0
8,n3313,0.0
9,n3313,0.0
10,n3313,0.0
11,n3313,0.0
12,n3313,0.0
13,n3313,0.0
14,n3313,0.0
15,n3313,0.0
16,n3313,0.0
17,n3313,0.0
18,n3313,0.0
19,n3313,0.0
20,n3313,0.0
21,n3313,0.0
22,n3313,0.0
23,n3313,0.0
24,n3313,0.0
25,n3313,0.0
26,n3313,0.0
27,n3313,0.0
28,n3313,0.0
29,n3313,0.0
30,n3313,0.0
31,n3313,0.0
32,n3313,0.0
33,n3313,0.0
34,n3313,0.0
35,n3313,0.0
36,n3313,0.0
37,n3313,0.0
38,n3313,0.0
39,n3313,0.0
40,n3313,0.0
41,n3313,0.0
42,n3313,0.0
43,n3313,0.0
44,n3313,0.0
45,n3313,0.0
46,n3313,0.0
47,n3313,0.0
48,n3313,0.0
49,n3313,0.0
1,n3314,0.0
2,n3314,0.0
3,n3314,0.0
4,n3314,0.0
5,n3314,0.0
6,n3314,0.0
7,n3314,0.0
8,n3314,0.0
9,n3314,0.0
10,n3314,0.0
11,n3314,0.0
12,n3314,0.0
13,n3314,0.0
14,n3314,0.0
15,n3314,0.0
16,n3314,0.0
17,n3314,0.0
18,n3314,0.0
19,n3314,0.0
20,n3314,0.0
21,n3314,0.0
22,n3314,0.0
23,n3314,0.0
24,n3314,0.0
25,n3314,0.0
26,n3314,0.0
27,n3314,0.0
28,n3314,0.0
29,n3314,0.0
30,n3314,0.0
31,n3314,0.0
32,n3314,0.0
33,n3314,0.0
34,n3314,0.0
35,n3314,0.0
36,n3314,0.0
37,n3314,0.0
38,n3314,0.0
39,n3314,0.0
40,n3314,0.0
41,n3314,0.0
42,n3314,0.0
43,n3314,0.0
44,n3314,0.0
45,n3314,0.0
46,n3314,0.0
47,n3314,0.0
48,n3314,0.0
49,n3314,0.0
1,n3315,0.0
2,n3315,0.0
3,n3315,0.0
4,n3315,0.0
5,n3315,0.0
6,n3315,0.0
7,n3315,0.0
8,n3315,0.0
9,n3315,0.0
10,n3315,0.0
11,n3315,0.0
12,n3315,0.0
13,n3315,0.0
14,n3315,0.0
15,n3315,0.0
16,n3315,0.0
17,n3315,0.0
18,n3315,0.0
19,n3315,0.0
20,n3315,0.0
21,n3315,0.0
22,n3315,0.0
23,n3315,0.0
24,n3315,0.0
25,n3315,0.0
26,n3315,0.0
27,n3315,0.0
28,n3315,0.0
29,n3315,0.0
30,n3315,0.0
31,n3315,0.0
32,n3315,0.0
33,n3315,0.0
34,n3315,0.0
35,n3315,0.0
36,n3315,0.0
37,n3315,0.0
38,n3315,0.0
39,n3315,0.0
40,n3315,0.0
41,n3315,0.0
42,n3315,0.0
43,n3315,0.0
44,n3315,0.0
45,n3315,0.0
46,n3315,0.0
47,n3315,0.0
48,n3315,0.0
49,n3315,0.0
1,n3316,0.0
2,n3316,0.0
3,n3316,0.0
4,n3316,0.0
5,n3316,0.0
6,n3316,0.0
7,n3316,0.0
8,n3316,0.0
9,n3316,0.0
10,n3316,0.0
11,n3316,0.0
12,n3316,0.0
13,n3316,0.0
14,n3316,0.0
15,n3316,0.0
16,n3316,0.0
17,n3316,0.0
18,n3316,0.0
19,n3316,0.0
20,n3316,0.0
21,n3316,0.0
22,n3316,0.0
23,n3316,0.0
24,n3316,0.0
25,n3316,0.0
26,n3316,0.0
27,n3316,0.0
28,n3316,0.0
29,n3316,0.0
30,n3316,0.0
31,n3316,0.0
32,n3316,0.0
33,n3316,0.0
34,n3316,0.0
35,n3316,0.0
36,n3316,0.0
37,n3316,0.0
38,n3316,0.0
39,n3316,0.0
40,n3316,0.0
41,n3316,0.0
42,n3316,0.0
43,n3316,0.0
44,n3316,0.0
45,n3316,0.0
46,n3316,0.0
47,n3316,0.0
48,n3316,0.0
49,n3316,0.0
1,n3317,0.0
2,n3317,0.0
3,n3317,0.0
4,n3317,0.0
5,n3317,0.0
6,n3317,0.0
7,n3317,0.0
8,n3317,0.0
9,n3317,0.0
10,n3317,0.0
11,n3317,0.0
12,n3317,0.0
13,n3317,0.0
14,n3317,0.0
15,n3317,0.0
16,n3317,0.0
17,n3317,0.0
18,n3317,0.0
19,n3317,0.0
20,n3317,0.0
21,n3317,0.0
22,n3317,0.0
23,n3317,0.0
24,n3317,0.0
25,n3317,0.0
26,n3317,0.0
27,n3317,0.0
28,n3317,0.0
29,n3317,0.0
30,n3317,0.0
31,n3317,0.0
32,n3317,0.0
33,n3317,0.0
34,n3317,0.0
35,n3317,0.0
36,n3317,0.0
37,n3317,0.0
38,n3317,0.0
39,n3317,0.0
40,n3317,0.0
41,n3317,0.0
42,n3317,0.0
43,n3317,0.0
44,n3317,0.0
45,n3317,0.0
46,n3317,0.0
47,n3317,0.0
48,n3317,0.0
49,n3317,0.0
1,n3318,0.0
2,n3318,0.0
3,n3318,0.0
4,n3318,0.0
5,n3318,0.0
6,n3318,0.0
7,n3318,0.0
8,n3318,0.0
9,n3318,0.0
10,n3318,0.0
11,n3318,0.0
12,n3318,0.0
13,n3318,0.0
14,n3318,0.0
15,n3318,0.0
16,n3318,0.0
17,n3318,0.0
18,n3318,0.0
19,n3318,0.0
20,n3318,0.0
21,n3318,0.0
22,n3318,0.0
23,n3318,0.0
24,n3318,0.0
25,n3318,0.0
26,n3318,0.0
27,n3318,0.0
28,n3318,0.0
29,n3318,0.0
30,n3318,0.0
31,n3318,0.0
32,n3318,0.0
33,n3318,0.0
34,n3318,0.0
35,n3318,0.0
36,n3318,0.0
37,n3318,0.0
