z1,z2
0,0
0,0
0,0
0,0
0,0
0,0
0.04,0.03
0.11,0.09
0.2,0.18
0.27,0.29
0.29,0.35
0.26,0.39
0.33,0.43
0.41,0.44
0.46,0.41
0.47,0.35
0.41,0.27
0.35,0.17
0.25,0.09
0.12,0.04
0.04,0.01
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.01,0.01
0.04,0.05
0.14,0.12
0.24,0.2
0.34,0.27
0.39,0.36
0.41,0.43
0.45,0.47
0.47,0.46
0.46,0.42
0.41,0.36
0.35,0.28
0.23,0.18
0.12,0.08
0.03,0.03
0,0
0,0
0,0
