timestep,node,price
1,n3303,17.510367686199125
2,n3303,17.510367686199125
3,n3303,17.510367686199125
4,n3303,17.510367686199125
5,n3303,17.510367686199125
6,n3303,17.510367686199125
7,n3303,17.510367686199125
8,n3303,17.510367686199125
9,n3303,17.510367686199125
10,n3303,17.510367686199125
11,n3303,17.510367686199125
12,n3303,17.510367686199125
13,n3303,17.510367686199125
14,n3303,17.510367686199125
15,n3303,17.510367686199125
16,n3303,17.510367686199125
17,n3303,17.510367686199125
18,n3303,17.510367686199125
19,n3303,17.510367686199125
20,n3303,17.510367686199125
21,n3303,17.510367686199125
22,n3303,17.510367686199125
23,n3303,17.510367686199125
24,n3303,17.510367686199125
25,n3303,17.510367686199125
26,n3303,17.510367686199125
27,n3303,17.510367686199125
28,n3303,17.510367686199125
29,n3303,17.510367686199125
30,n3303,17.510367686199125
31,n3303,17.510367686199125
32,n3303,17.510367686199125
33,n3303,17.510367686199125
34,n3303,17.510367686199125
35,n3303,17.510367686199125
36,n3303,17.510367686199125
37,n3303,17.510367686199125
38,n3303,17.510367686199125
39,n3303,17.510367686199125
40,n3303,17.510367686199125
41,n3303,17.510367686199125
42,n3303,17.510367686199125
43,n3303,17.510367686199125
44,n3303,17.510367686199125
45,n3303,17.510367686199125
46,n3303,17.510367686199125
47,n3303,17.510367686199125
48,n3303,17.510367686199125
49,n3303,17.510367686199125
1,n3304,16.994438043923267
2,n3304,16.965977579874902
3,n3304,17.41544962868464
4,n3304,17.81007033088802
5,n3304,22.49758357996977
6,n3304,21.97717933304579
7,n3304,19.78770663094009
8,n3304,18.272378206873626
9,n3304,17.66179829304231
10,n3304,17.576151366622888
11,n3304,17.579635392329426
12,n3304,17.56222071330216
13,n3304,17.56393156299556
14,n3304,17.560097753219942
15,n3304,17.58014032533214
16,n3304,17.668564710968486
17,n3304,20.55400220455453
18,n3304,25.860429204769012
19,n3304,26.57847372829506
20,n3304,27.327733380689878
21,n3304,25.234775887811242
22,n3304,22.849510533262766
23,n3304,17.725585521838564
24,n3304,17.725449906003057
25,n3304,17.724226191364032
26,n3304,17.705877398471163
27,n3304,23.500391463944037
28,n3304,24.80160902977866
29,n3304,29.15987727781778
30,n3304,29.305034545241373
31,n3304,28.305268429589717
32,n3304,26.668469469802062
33,n3304,19.13181799081149
34,n3304,18.971584450673806
35,n3304,18.869932799959383
36,n3304,17.756520684106096
37,n3304,17.74466753932036
38,n3304,18.023855801335547
39,n3304,19.159226796591177
40,n3304,27.13150201203585
41,n3304,29.233072259977607
42,n3304,39.32914099078983
43,n3304,42.575763757451625
44,n3304,39.35907958156663
45,n3304,29.413923502459085
46,n3304,28.150694087565725
47,n3304,27.198554122267954
48,n3304,27.06525452712637
49,n3304,26.935116187205928
1,n3305,16.782674330351707
2,n3305,16.744726664931882
3,n3305,17.168700603037312
4,n3305,17.554423654407643
5,n3305,21.949567515818877
6,n3305,21.405462805704662
7,n3305,19.189383307561826
8,n3305,17.713882824853094
9,n3305,17.471597750326982
10,n3305,17.5488175054117
11,n3305,17.551713611685738
12,n3305,17.552558866089857
13,n3305,17.55501965451361
14,n3305,17.54973317640606
15,n3305,17.553469121723328
16,n3305,17.49191283241607
17,n3305,19.968006475559957
18,n3305,25.436393732712983
19,n3305,26.19416978333506
20,n3305,26.9848176821092
21,n3305,25.057756365757772
22,n3305,22.66000776810216
23,n3305,17.54789121209322
24,n3305,17.547591788663524
25,n3305,17.54758193401389
26,n3305,17.544577790409676
27,n3305,23.34480801428738
28,n3305,24.66675611888273
29,n3305,28.930573577847948
30,n3305,29.089376810904824
31,n3305,28.264707128347492
32,n3305,26.653732694110683
33,n3305,18.78493467409149
34,n3305,18.636584485896062
35,n3305,18.54113817990332
36,n3305,17.61501512129699
37,n3305,17.62026085368108
38,n3305,17.90723250225133
39,n3305,18.810310768835045
40,n3305,27.13150201203596
41,n3305,29.251471413670743
42,n3305,39.228222427811495
43,n3305,42.52376814908126
44,n3305,39.261986946911364
45,n3305,29.438542357139703
46,n3305,28.150694087565846
47,n3305,27.198554122268064
48,n3305,27.06525452712648
49,n3305,26.935116187206035
1,n3306,17.174932609568682
2,n3306,17.15512422904388
3,n3306,17.627378908958217
4,n3306,18.029736762688415
5,n3306,22.93792921752096
6,n3306,22.436524831999954
7,n3306,20.265555605745046
8,n3306,18.710143953090952
9,n3306,17.80664779234112
10,n3306,17.580598594115877
11,n3306,17.581502840590094
12,n3306,17.548118055150308
13,n3306,17.548057595498037
14,n3306,17.548015286433007
15,n3306,17.58192413322838
16,n3306,17.813667553843302
17,n3306,21.02165981379499
18,n3306,26.198481361002997
19,n3306,26.883762086698653
20,n3306,27.59855160670067
21,n3306,25.384920420879965
22,n3306,23.00925231159657
23,n3306,17.87429652609981
24,n3306,17.874475774171895
25,n3306,17.8720916016137
26,n3306,17.84070684285214
27,n3306,23.63076788248007
28,n3306,24.915858879066505
29,n3306,29.335487414971738
30,n3306,29.47016275240122
31,n3306,28.339943548771316
32,n3306,26.680859183887232
33,n3306,19.668980184053993
34,n3306,19.468089609972335
35,n3306,19.34165876442844
36,n3306,17.965268318107576
37,n3306,17.935490305480613
38,n3306,18.197723313536326
39,n3306,19.703343593382918
40,n3306,27.13150201203586
41,n3306,29.21631596031397
42,n3306,39.41353282387437
43,n3306,42.6192444073265
44,n3306,39.44027203195185
45,n3306,29.39150285674434
46,n3306,28.15069408756574
47,n3306,27.198554122267968
48,n3306,27.065254527126385
49,n3306,26.935116187205942
1,n3307,17.17493260956874
2,n3307,17.155124229043928
3,n3307,17.627378908958253
4,n3307,18.029736762688447
5,n3307,22.937929217520985
6,n3307,22.436524831999982
7,n3307,20.26555560574507
8,n3307,18.710143953090974
9,n3307,17.806647792341177
10,n3307,17.58059859411596
11,n3307,17.58150284059017
12,n3307,17.548118055150375
13,n3307,17.54805759549811
14,n3307,17.548015286433085
15,n3307,17.58192413322845
16,n3307,17.813667553843374
17,n3307,21.021659813795072
18,n3307,26.198481361003054
19,n3307,26.883762086698724
20,n3307,27.598551606700727
21,n3307,25.384920420880036
22,n3307,23.009252311596633
23,n3307,17.874296526099883
24,n3307,17.874475774171973
25,n3307,17.87209160161377
26,n3307,17.8407068428522
27,n3307,23.63076788248012
28,n3307,24.915858879066548
29,n3307,29.335487414971777
30,n3307,29.47016275240129
31,n3307,28.339943548771384
32,n3307,26.680859183887282
33,n3307,19.668980184054078
34,n3307,19.46808960997243
35,n3307,19.341658764428544
36,n3307,17.965268318107608
37,n3307,17.935490305480645
38,n3307,18.197723313536358
39,n3307,19.703343593383
40,n3307,27.131502012035916
41,n3307,29.216315960314034
42,n3307,39.413532823874476
43,n3307,42.61924440732663
44,n3307,39.44027203195195
45,n3307,29.39150285674441
46,n3307,28.150694087565803
47,n3307,27.19855412226802
48,n3307,27.065254527126438
49,n3307,26.935116187205992
1,n3308,17.174932609568756
2,n3308,17.155124229043956
